year,month,ada,android,clojure,cobol,dart,delphi,fortran,ios,java,javascript,kotlin,labview,matlab,pascal,perl,php,powershell,python,ruby,scala,sql,typescript,visual_basic,wolfram
"","",0,5,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0
2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2004,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0
2004,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,2,0,0,0
2004,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0
2005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0
2005,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,0,3,0,0,0
2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
2005,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,3,0,2,0,0,0
2005,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,1,1,2,0,0,0
2005,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,3,0,0,0
2005,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,0,2,0,0,0
2005,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,2,0,0,0
2005,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,1,0,4,0,0,0
2005,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,1,0,3,0,0,0
2005,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,3,1,0,5,0,0,0
2005,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,2,0,6,0,0,0
2006,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,4,2,0,4,0,0,0
2006,2,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,4,2,0,4,0,0,0
2006,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,7,0,5,4,0,5,0,0,0
2006,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,11,0,8,2,0,4,0,0,0
2006,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,6,3,0,5,0,0,0
2006,6,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,8,0,6,2,0,8,0,0,0
2006,7,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,6,3,1,6,0,0,0
2006,8,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,15,0,7,3,0,6,0,0,0
2006,9,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,6,6,0,8,0,0,0
2006,10,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,17,0,6,8,0,9,0,0,0
2006,11,1,0,0,0,0,0,0,0,4,1,0,0,0,0,2,16,0,6,9,1,7,0,0,0
2006,12,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,12,0,5,6,1,5,0,0,0
2007,1,2,0,0,0,0,0,0,1,5,1,0,0,0,0,1,11,0,6,5,0,7,0,0,0
2007,2,2,0,0,0,0,0,0,2,5,0,0,0,0,0,1,14,0,9,7,1,6,0,0,0
2007,3,2,0,0,0,0,0,0,2,6,2,0,0,0,0,1,14,0,8,7,1,6,0,0,0
2007,4,2,0,0,0,0,1,0,1,4,1,0,0,0,0,0,14,0,11,7,1,9,0,0,0
2007,5,3,0,0,0,0,1,0,1,6,0,0,0,0,0,1,16,0,14,10,1,11,0,0,0
2007,6,3,0,0,0,0,0,0,1,6,1,0,0,0,0,0,16,0,14,8,1,8,0,0,0
2007,7,0,0,0,0,0,2,0,1,4,1,0,0,0,0,2,18,0,12,9,2,7,0,0,0
2007,8,4,0,0,0,0,0,0,1,5,1,0,0,0,0,1,21,0,14,8,1,10,0,0,0
2007,9,5,0,0,1,0,1,0,2,11,2,0,0,0,0,4,24,0,15,12,1,12,0,0,0
2007,10,5,0,0,0,0,1,0,1,12,7,0,0,0,0,7,27,0,17,15,1,16,0,0,0
2007,11,5,0,0,0,0,0,0,2,5,1,0,0,0,0,1,25,0,13,8,2,12,0,0,0
2007,12,4,0,0,0,0,0,0,0,5,1,0,0,0,0,1,25,0,11,11,1,13,0,0,0
2008,1,4,0,0,0,0,1,0,4,6,2,0,0,0,0,2,21,0,12,11,6,9,0,0,0
2008,2,4,1,0,0,0,0,0,5,9,1,0,0,0,0,1,24,0,12,14,6,9,0,0,0
2008,3,5,2,0,0,0,0,0,5,10,2,0,0,0,0,2,20,0,14,12,2,9,0,0,0
2008,4,4,0,0,0,0,0,0,1,7,1,0,0,0,0,1,24,0,15,15,1,8,0,0,0
2008,5,6,0,0,0,0,0,0,3,7,3,0,0,0,0,2,27,0,13,15,2,11,0,0,0
2008,6,2,0,1,0,1,1,0,4,9,2,0,0,0,0,1,22,0,15,22,1,11,0,0,0
2008,7,3,0,0,0,0,0,0,2,8,3,0,0,0,0,2,19,0,13,20,1,9,0,0,0
2008,8,7,0,0,0,0,1,0,2,13,5,0,0,0,0,3,20,0,10,16,3,9,0,0,0
2008,9,5,0,0,0,1,1,0,4,14,2,0,0,0,0,3,31,0,16,13,1,6,0,0,0
2008,10,10,0,1,0,0,1,0,5,11,5,0,0,0,0,5,34,0,14,16,2,11,0,0,0
2008,11,9,0,1,0,0,1,0,3,15,5,0,0,0,0,3,24,0,14,16,5,11,0,0,0
2008,12,3,4,1,0,0,0,0,5,14,5,0,0,0,0,2,24,0,16,18,1,12,0,0,0
2009,1,12,4,2,0,1,1,0,6,19,6,0,0,0,0,3,33,0,16,18,5,9,0,0,0
2009,2,9,4,3,0,0,1,0,1,22,9,0,0,0,0,2,43,0,18,21,4,9,0,0,1
2009,3,7,5,4,0,0,1,0,5,32,14,0,0,0,0,4,46,0,16,22,4,19,0,0,0
2009,4,9,3,0,0,0,2,0,12,25,10,0,0,0,0,5,42,0,14,28,8,14,0,0,0
2009,5,9,3,0,0,0,1,0,5,20,9,0,0,0,0,2,46,0,14,23,8,19,0,0,1
2009,6,15,8,1,0,1,4,0,6,37,11,0,0,0,0,4,53,0,19,27,12,17,0,0,0
2009,7,13,7,1,0,0,2,0,4,20,9,0,0,0,0,2,44,0,21,25,7,13,0,0,3
2009,8,17,5,1,0,0,1,0,6,26,11,0,0,1,0,3,41,0,16,29,11,16,0,0,0
2009,9,10,6,1,0,0,2,0,12,27,10,0,0,0,0,6,56,1,18,33,8,13,0,0,0
2009,10,17,6,1,0,3,3,0,6,30,15,0,0,0,0,5,43,0,27,32,14,18,0,0,0
2009,11,9,8,0,0,2,1,0,9,20,6,0,0,0,0,6,41,0,17,29,12,17,0,0,1
2009,12,14,9,0,0,0,2,0,5,22,9,0,0,1,0,7,32,1,21,31,7,24,0,0,0
2010,1,18,16,0,0,1,0,0,10,32,20,0,0,1,0,3,33,0,19,33,9,21,0,0,0
2010,2,18,19,1,0,1,4,0,7,36,12,0,0,0,1,4,44,0,25,39,20,18,0,0,1
2010,3,16,16,2,0,0,3,0,10,40,20,0,0,0,1,7,35,0,30,44,20,23,0,0,0
2010,4,18,15,1,0,0,4,0,12,27,15,0,0,0,0,3,49,0,26,41,12,32,0,0,0
2010,5,22,18,2,0,0,2,1,15,44,23,0,0,0,1,3,43,0,26,51,17,30,0,0,0
2010,6,31,13,3,1,0,1,0,22,26,10,0,0,0,1,8,42,0,20,42,17,20,0,0,0
2010,7,25,25,2,0,3,2,0,19,40,20,0,0,0,0,7,52,0,23,47,11,25,0,0,1
2010,8,18,22,1,0,2,4,0,18,45,25,0,0,0,1,5,46,0,27,45,15,29,0,0,0
2010,9,23,29,3,0,1,3,0,35,56,36,0,0,0,1,9,55,0,29,67,20,37,0,0,0
2010,10,24,37,2,0,3,2,0,30,55,26,0,0,1,0,9,64,0,31,54,8,28,0,0,0
2010,11,23,31,4,1,1,5,1,34,54,24,0,0,1,0,5,60,0,31,58,11,38,0,0,0
2010,12,13,21,1,0,1,7,0,21,42,26,0,0,0,0,8,41,0,25,51,13,21,0,0,0
2011,1,28,25,6,0,3,4,0,32,48,26,0,0,0,0,5,50,1,35,55,19,39,0,0,0
2011,2,21,38,3,0,1,11,0,45,45,28,0,0,0,0,10,58,0,33,59,20,25,0,0,0
2011,3,25,55,2,0,3,6,0,44,49,21,0,0,0,1,5,65,0,30,63,17,18,0,0,0
2011,4,30,41,4,0,2,6,0,41,53,30,0,0,0,1,7,55,0,36,64,17,28,0,0,1
2011,5,24,47,1,0,5,10,0,54,58,30,0,0,1,1,5,62,0,43,68,24,28,0,0,0
2011,6,32,48,3,0,2,5,0,57,60,38,0,0,0,2,5,49,0,38,61,23,31,0,0,0
2011,7,22,42,4,0,2,4,0,47,55,30,0,0,0,1,8,59,0,43,65,19,32,0,0,0
2011,8,42,41,8,0,1,4,0,46,60,34,0,0,0,2,7,64,0,41,78,23,29,0,0,0
2011,9,38,46,8,0,1,8,1,44,81,49,0,0,0,0,6,70,0,47,78,19,35,0,0,0
2011,10,49,55,5,0,1,6,0,47,71,45,0,0,0,1,13,71,1,46,98,37,35,0,0,0
2011,11,30,44,4,0,2,6,0,53,74,53,0,0,0,1,6,78,2,48,97,29,31,0,0,0
2011,12,27,44,3,0,3,2,0,53,57,40,0,0,0,1,5,53,0,37,79,23,22,0,0,2
2012,1,42,71,4,0,7,9,1,72,90,57,0,0,1,2,14,83,1,50,91,43,41,0,0,0
2012,2,67,87,9,0,0,5,1,93,101,64,0,0,1,0,17,88,1,78,98,43,47,0,0,0
2012,3,60,64,6,0,6,8,0,72,91,55,0,1,0,0,8,90,2,73,99,35,58,0,0,0
2012,4,52,73,10,0,6,9,0,92,120,87,0,2,3,1,16,74,1,76,99,39,55,0,0,0
2012,5,56,56,5,0,1,14,1,76,106,81,0,0,2,6,13,98,2,62,135,47,47,0,0,0
2012,6,53,50,10,1,2,15,0,77,127,89,0,0,2,0,10,97,2,70,121,40,49,0,0,0
2012,7,52,53,9,0,2,15,1,76,111,82,0,0,1,1,12,98,3,71,110,45,42,0,0,0
2012,8,62,60,10,0,2,11,0,86,122,91,0,0,1,1,17,95,1,78,117,39,48,0,0,0
2012,9,67,74,11,0,7,12,1,90,124,96,0,0,1,2,16,98,3,84,104,52,56,0,0,0
2012,10,83,61,15,0,4,11,0,101,128,92,0,0,0,2,18,105,3,98,128,59,57,1,0,0
2012,11,77,66,10,0,2,18,0,111,129,96,0,0,0,4,14,96,2,97,95,54,47,2,0,1
2012,12,50,69,14,1,8,9,1,94,113,81,0,0,0,2,7,99,3,82,85,35,39,1,0,0
2013,1,60,73,9,0,6,14,0,116,131,91,0,0,0,0,13,102,3,82,105,55,57,3,0,1
2013,2,93,103,11,4,6,18,4,147,160,120,0,0,2,0,13,119,2,114,118,71,69,2,0,1
2013,3,111,100,11,4,3,19,4,157,167,110,0,1,2,1,15,121,4,130,140,73,69,4,0,0
2013,4,108,110,11,2,1,20,4,135,183,129,0,0,1,0,21,116,3,130,151,61,75,2,0,0
2013,5,128,101,13,2,6,22,7,145,201,149,0,0,0,5,21,110,6,137,132,69,82,0,0,0
2013,6,116,120,12,5,1,25,3,152,181,133,0,0,0,1,15,86,4,141,138,77,88,1,0,0
2013,7,119,97,10,3,7,21,1,126,182,126,0,0,2,0,25,79,2,143,135,73,71,0,0,0
2013,8,93,112,12,2,5,18,3,150,170,115,0,0,1,0,20,83,4,123,139,56,55,1,0,0
2013,9,113,99,14,1,7,29,2,169,209,144,0,2,1,1,40,117,2,143,132,66,85,1,0,0
2013,10,143,137,14,2,5,30,2,214,226,154,0,0,0,1,18,127,8,148,162,62,96,3,0,0
2013,11,137,94,9,2,9,18,3,154,195,126,0,0,1,1,30,133,4,139,135,63,94,1,0,0
2013,12,83,88,20,1,4,18,2,110,147,108,0,0,0,0,16,92,3,113,103,43,63,0,0,0
2014,1,121,93,13,1,11,17,1,155,183,121,0,0,3,1,35,108,7,137,150,39,66,0,0,1
2014,2,121,120,13,1,30,29,1,165,212,146,1,0,3,1,23,138,8,178,178,57,86,0,0,2
2014,3,142,110,16,0,7,37,1,164,218,147,0,0,3,0,26,139,3,182,175,94,104,5,0,1
2014,4,135,150,16,1,11,25,2,213,257,178,0,1,2,0,33,167,6,178,181,94,104,2,0,0
2014,5,158,169,13,0,14,30,2,231,261,175,0,0,1,5,25,156,3,177,163,104,126,1,0,2
2014,6,149,164,15,0,3,21,2,212,293,213,0,1,5,0,28,150,3,185,168,76,98,4,0,1
2014,7,128,147,14,1,5,25,1,201,270,189,0,0,0,1,28,123,8,192,173,65,102,0,0,0
2014,8,115,136,13,0,6,25,1,210,273,202,0,0,2,0,47,141,3,171,186,71,95,3,0,2
2014,9,166,148,14,0,6,25,1,220,271,215,0,0,2,0,28,143,9,180,174,89,129,3,0,1
2014,10,169,162,19,1,7,30,1,281,327,247,2,0,4,1,44,152,5,214,169,115,126,1,0,1
2014,11,154,118,11,1,8,23,2,211,284,217,0,0,7,8,43,134,9,209,162,86,126,2,0,2
2014,12,105,101,22,2,6,15,2,217,248,197,0,0,3,1,34,116,7,191,178,69,119,2,0,0
2015,1,128,136,9,1,3,22,1,241,291,233,1,0,5,1,37,131,8,194,181,89,93,4,0,0
2015,2,200,180,15,0,7,25,0,278,346,260,1,0,1,1,34,146,7,272,206,116,127,2,0,1
2015,3,189,179,11,1,12,31,2,320,407,296,1,0,6,3,42,186,10,317,210,138,189,7,0,0
2015,4,188,145,19,1,17,33,2,299,397,303,0,0,7,1,46,179,9,258,220,116,161,13,0,3
2015,5,217,163,21,0,14,29,1,304,398,296,0,1,3,2,53,179,9,287,224,115,166,11,0,0
2015,6,185,155,20,0,15,36,3,268,412,299,1,0,2,2,44,186,15,307,240,114,173,7,0,1
2015,7,168,144,19,1,20,27,1,235,392,299,2,0,4,2,53,165,7,257,230,100,146,9,0,0
2015,8,171,130,17,1,16,26,0,243,402,321,0,1,4,0,46,170,15,258,250,108,167,8,0,1
2015,9,195,139,23,0,14,27,0,266,425,320,1,2,2,2,53,196,10,271,224,129,195,13,0,1
2015,10,196,159,27,0,14,41,1,291,468,366,0,0,10,1,48,203,10,336,235,128,198,8,0,0
2015,11,168,133,16,0,15,26,3,273,408,319,3,0,4,0,50,185,12,283,210,98,171,9,0,1
2015,12,133,77,26,1,16,26,1,209,332,269,1,0,1,2,45,168,10,257,203,76,140,2,0,0
2016,1,211,121,17,0,14,19,1,281,395,319,3,0,1,5,50,186,14,297,209,99,182,10,0,0
2016,2,212,181,20,0,12,21,4,309,454,352,0,0,1,2,46,181,8,298,227,135,192,21,0,2
2016,3,253,209,20,1,13,36,1,342,529,395,2,0,1,3,44,181,10,330,211,214,203,12,0,2
2016,4,237,157,21,0,9,35,2,338,535,427,2,0,0,2,56,158,15,377,236,272,218,10,0,0
2016,5,221,153,16,0,17,31,2,366,536,417,0,1,1,2,47,171,12,348,237,161,204,15,0,1
2016,6,221,142,20,0,14,30,2,348,571,429,5,0,2,3,68,184,18,394,236,147,206,10,0,2
2016,7,220,134,16,1,16,23,1,324,486,385,1,0,1,1,40,172,15,352,201,154,161,19,0,0
2016,8,227,145,16,0,15,50,2,385,510,404,5,1,0,0,56,165,10,323,227,142,179,14,0,2
2016,9,219,135,19,0,16,36,2,366,527,418,2,1,2,0,50,163,13,403,214,196,243,19,0,0
2016,10,252,147,25,4,30,36,1,395,517,408,4,0,2,2,42,194,11,360,211,249,203,18,0,0
2016,11,214,104,23,3,11,28,3,347,469,364,1,1,7,0,49,163,15,367,190,136,188,22,0,1
2016,12,155,84,11,2,15,34,0,258,374,300,3,0,4,1,45,163,14,310,134,107,133,8,0,0
2017,1,205,111,13,1,17,31,1,293,499,409,4,0,6,1,69,159,14,380,177,135,172,11,0,1
2017,2,236,115,12,2,19,34,5,360,514,424,1,0,1,7,67,171,21,397,156,136,207,15,0,0
2017,3,321,124,16,1,15,50,2,407,565,460,4,0,2,2,60,168,13,402,173,143,229,25,0,3
2017,4,287,119,13,2,14,44,0,452,506,421,9,0,5,3,53,186,22,423,181,139,225,20,0,4
2017,5,255,117,14,1,25,41,1,376,518,425,9,0,16,0,72,199,16,423,137,159,198,27,0,0
2017,6,258,132,16,1,19,44,2,421,544,449,13,1,7,2,100,221,22,490,152,156,223,29,0,2
2017,7,240,119,13,1,20,26,4,355,561,466,17,0,3,2,52,149,18,468,138,108,208,21,0,0
2017,8,240,114,24,2,27,35,4,391,694,585,22,0,11,0,71,144,22,513,158,147,202,24,0,1
2017,9,280,137,14,3,38,32,3,398,551,450,14,1,3,1,75,158,12,478,127,120,218,18,0,0
2017,10,308,124,15,4,34,44,0,397,601,514,17,0,3,4,68,156,19,550,142,146,186,13,0,0
2017,11,275,105,13,1,16,33,2,370,524,433,10,0,0,3,76,154,22,457,127,131,188,11,0,0
2017,12,182,84,13,3,15,28,5,254,406,358,16,0,1,1,73,144,15,368,101,86,127,17,0,0
2018,1,228,116,11,0,13,18,4,348,496,423,15,0,3,3,90,151,9,480,121,97,157,14,0,1
2018,2,249,113,11,2,23,32,3,382,566,450,16,0,10,2,86,145,17,493,117,184,200,19,0,5
2018,3,325,113,12,0,19,33,0,406,560,438,23,2,11,1,107,157,24,507,127,145,194,22,0,0
2018,4,280,114,22,4,18,39,2,427,558,459,20,1,7,2,82,167,16,540,123,108,180,11,0,1
2018,5,296,100,19,2,22,40,1,396,595,491,21,0,3,5,98,173,29,511,126,152,187,23,0,0
2018,6,259,120,23,1,25,34,2,354,584,476,12,0,10,3,100,149,20,570,109,155,232,18,0,0
2018,7,287,85,17,3,12,19,3,337,530,433,8,0,13,3,103,126,19,593,114,96,192,7,0,0
2018,8,278,107,13,1,22,26,0,367,604,505,14,0,4,5,86,108,15,624,108,116,211,18,0,0
2018,9,250,120,11,4,18,48,0,351,568,480,17,0,13,7,114,116,24,584,92,101,231,20,0,0
2018,10,302,120,21,0,12,31,2,400,625,519,18,0,5,8,93,127,19,620,107,135,216,16,0,0
2018,11,240,126,9,0,15,29,2,388,547,471,8,0,2,5,83,110,14,598,120,119,172,10,0,0
2018,12,212,91,6,2,13,37,1,342,519,461,13,0,0,7,74,79,12,490,82,85,156,10,0,0
2019,1,268,103,7,2,9,32,1,354,612,533,12,0,2,9,92,107,17,628,100,119,163,13,0,0
2019,2,291,89,8,6,22,48,4,352,594,499,17,0,6,15,112,127,20,693,103,126,180,19,0,1
2019,3,333,104,12,3,12,52,5,355,586,475,17,0,2,18,91,134,24,711,115,127,202,29,0,0
2019,4,340,84,8,2,24,44,1,429,618,501,17,0,2,18,89,130,23,781,114,160,225,23,0,0
2019,5,340,78,9,0,10,44,1,432,609,501,12,1,2,17,105,141,19,773,120,153,206,13,0,0
2019,6,331,102,11,3,12,38,2,381,579,422,23,0,1,14,97,121,18,873,102,135,286,24,0,2
2019,7,274,66,3,0,15,40,1,373,556,455,24,0,6,7,84,113,14,977,122,137,312,15,0,0
2019,8,304,71,11,1,15,42,4,355,578,453,16,3,1,1,86,110,20,995,108,154,322,28,0,0
2019,9,340,63,10,0,16,45,1,381,478,370,12,0,1,1,92,112,21,914,99,126,297,19,0,0
2019,10,356,76,7,2,12,45,3,406,524,403,13,1,4,2,89,118,22,960,99,183,345,22,0,0
2019,11,292,64,7,0,14,40,0,383,477,362,10,2,30,0,74,108,19,864,104,149,304,14,0,6
