mins_duration,count
1,88
2,2
3,1
5,24
7,3
8,3
9,1
10,95
13,1
14,2
15,463
17,1
20,33
22,1
25,8
29,11
30,7759
31,1
33,2
35,7
37,1
39,1
40,151
45,2087
49,1
50,131
53,1
55,12
57,1
59,74
60,64267
61,1
63,6
64,1
65,57
69,1
70,166
74,2
75,4246
79,2
80,38
81,1
85,61
88,2
89,7
90,58476
91,2
92,3
93,125
95,11
96,2
97,1
99,1
100,104
102,1
105,3362
106,5
108,1
109,2
110,42
111,2
112,1
114,2
115,51
117,6
118,2
119,34
120,206558
121,5
122,1
123,3
125,7
127,7
130,33
134,1
135,3767
137,1
140,40
141,3
142,1
143,1
144,1
145,7
147,7
148,12
149,8
150,35124
151,2
152,1
153,6
154,1
155,31
157,5
160,10
164,1
165,1281
166,2
169,29
170,19
175,7
177,17
178,1
179,47
180,83931
181,7
183,2
185,3
187,3
190,2
194,1
195,561
197,1
200,7
207,2
208,1
209,13
210,5602
211,2
213,1
215,2
224,1
225,257
228,1
230,10
234,1
235,4
239,51
240,17155
241,1
243,3
245,4
250,1
255,164
260,1
265,6
269,10
270,1268
271,1
280,9
285,616
289,1
290,1
295,1
296,1
299,252
300,6423
301,2
309,1
315,97
325,1
329,44
330,904
332,1
333,2
345,151
350,1
351,1
355,1
357,1
358,1
359,28
360,6966
361,2
363,1
375,80
380,2
389,1
390,1057
393,7
400,2
405,74
410,1
415,1
419,5
420,5097
423,1
430,1
435,64
450,857
464,4
465,41
470,2
479,2
480,4682
486,1
490,6
495,158
510,1046
513,1
525,69
531,1
537,1
539,8
540,2614
545,1
550,1
555,60
567,1
570,390
575,1
580,1
585,37
597,1
599,4
600,1224
615,55
630,166
635,1
645,11
659,2
660,484
675,9
690,101
705,21
715,2
718,1
719,17
720,663
725,1
735,6
750,63
765,19
778,1
779,2
780,713
795,10
810,71
822,1
825,10
838,1
839,6
840,387
842,1
855,135
860,3
870,27
885,5
899,5
900,253
915,3
930,13
933,1
945,6
955,1
959,6
960,709
975,2
990,6
1005,4
1019,1
1020,20
1035,3
1050,1
1080,39
1095,2
1110,9
1125,1
1140,25
1155,1
1170,7
1185,1
1200,45
1230,11
1245,2
1260,49
1275,2
1290,16
1320,132
1335,2
1350,52
1365,2
1375,1
1379,1
1380,51
1383,1
1395,1
1410,25
1425,22
1435,24
1438,5
1439,28
1440,243
1455,1
1470,32
1485,3
1490,1
1495,1
1500,109
1515,8
1530,65
1535,1
1545,11
1559,1
1560,285
1575,25
1590,68
1605,3
1620,340
1635,6
1650,26
1665,3
1670,1
1680,285
1683,1
1695,31
1710,51
1725,2
1740,237
1755,6
1769,1
1770,25
1785,7
1800,308
1815,7
1830,58
1840,1
1845,11
1860,461
1875,9
1880,2
1890,85
1905,11
1911,1
1919,2
1920,1275
1930,3
1935,31
1950,223
1965,20
1977,1
1980,933
1995,14
2000,2
2010,98
2025,17
2039,1
2040,418
2070,56
2085,10
2095,1
2100,139
2107,1
2115,2
2129,1
2130,16
2145,9
2152,1
2160,156
2190,4
2199,1
2220,67
2235,1
2250,5
2265,1
2280,70
2295,1
2310,1
2325,3
2339,2
2340,41
2370,1
2385,3
2399,1
2400,7
2430,1
2460,18
2490,5
2520,25
2550,8
2580,28
2595,1
2610,8
2640,46
2670,9
2700,63
2715,1
2730,12
2745,1
2760,145
2775,4
2790,39
2800,1
2820,122
2835,4
2850,48
2865,3
2870,3
2878,1
2879,3
2880,492
2895,2
2910,36
2925,5
2939,1
2940,163
2955,1
2970,40
2983,1
2985,4
3000,343
3015,33
3030,118
3045,9
3060,479
3065,1
3075,1
3090,49
3120,108
3130,1
3150,32
3180,71
3195,2
3210,37
3225,4
3239,1
3240,59
3270,19
3285,2
3300,105
3325,1
3330,48
3345,2
3359,1
3360,238
3375,3
3390,42
3400,1
3405,7
3420,259
3435,2
3450,26
3465,2
3479,1
3480,162
3495,3
3510,7
3540,54
3570,10
3599,2
3600,67
3630,2
3660,31
3675,1
3690,5
3705,1
3719,1
3720,35
3735,1
3750,1
3779,1
3780,26
3810,1
3835,1
3840,8
3855,3
3899,2
3900,7
3960,3
4020,7
4050,1
4080,8
4110,2
4140,6
4170,1
4200,6
4215,1
4230,11
4245,1
4260,20
4290,2
4310,3
4315,1
4320,47
4335,1
4365,1
4380,11
4410,2
4425,2
4439,1
4440,53
4455,1
4470,5
4500,90
4530,9
4545,2
4560,53
4575,2
4590,2
4605,1
4619,1
4620,30
4650,4
4665,4
4680,23
4695,1
4710,8
4725,2
4740,54
4755,1
4785,1
4800,129
4815,1
4829,1
4830,19
4859,2
4860,192
4875,2
4890,14
4905,1
4919,1
4920,101
4935,3
4950,1
4980,23
5010,2
5039,2
5040,39
5069,1
5070,1
5100,11
5160,34
5220,24
5250,1
5265,1
5280,1
5295,1
5325,2
5340,4
5370,1
5490,1
5520,6
5580,3
5640,7
5685,1
5700,3
5730,1
5759,1
5760,3
5820,6
5850,5
5865,1
5880,23
5895,1
5910,3
5940,49
5970,6
5985,2
6000,13
6040,1
6045,1
6060,13
6075,1
6090,4
6120,15
6135,1
6150,6
6165,4
6180,44
6210,7
6225,1
6239,1
6240,146
6270,10
6300,237
6330,2
6345,1
6360,29
6366,1
6420,12
6465,1
6480,14
6540,11
6600,11
6630,1
6660,12
6705,5
6780,1
6810,1
6870,1
7020,2
7050,1
7080,3
7140,3
7170,1
7185,1
7198,1
7199,1
7200,5
7230,1
7260,2
7290,2
7319,1
7320,18
7350,13
7365,1
7380,13
7394,1
7410,1
7440,48
7500,5
7560,1
7590,3
7620,1
7680,13
7695,1
7710,1
7740,3
7785,1
7800,5
7845,1
7860,2
7920,4
7950,1
7980,5
8039,1
8040,1
8055,1
8100,4
8220,1
8280,4
8460,2
8520,7
8580,1
8610,1
8640,3
8700,7
8715,1
8730,3
8760,10
8790,1
8820,24
8880,2
8910,3
8925,1
8940,2
9000,3
9030,1
9060,1
9120,5
9180,9
9210,2
9240,2
9300,5
9360,2
9420,3
9480,1
9600,1
9645,1
9960,1
10035,1
10050,1
10065,1
10079,1
10080,27
10110,3
10140,23
10155,1
10170,13
10200,238
10215,2
10230,8
10245,1
10260,43
10290,2
10320,9
10335,1
10350,1
10380,2
10429,1
10439,1
10440,5
10470,1
10498,1
10500,13
10530,4
10560,6
10590,1
10620,2
10680,1
10740,1
10800,3
10920,3
11100,1
11280,1
11400,1
11460,1
11490,1
11520,12
11580,5
11610,5
11639,1
11640,20
11670,1
11685,1
11700,7
11730,1
11760,3
11805,2
11880,3
11940,3
12000,11
12030,1
12060,4
12120,1
12240,2
12360,2
12525,1
12930,1
12945,2
12960,3
13020,2
13050,5
13080,25
13095,3
13110,7
13140,6
13170,2
13200,5
13230,1
13259,5
13260,4
13320,1
13440,2
13499,2
13500,3
13560,1
13800,2
13845,1
13920,1
14115,1
14340,2
14460,1
14490,1
14520,9
14535,1
14550,3
14580,4
14610,1
14640,2
14760,2
14775,1
14880,2
14940,1
15000,1
15210,1
15240,1
15480,1
15600,1
15840,2
15885,1
15900,2
15930,6
15945,1
15959,1
15960,28
15990,1
16020,1
16050,1
16079,2
16080,11
16139,1
16140,2
16260,3
16320,1
16620,1
16799,1
17280,2
17340,8
17400,8
17460,27
17580,2
17640,1
17760,1
17940,1
18120,2
18180,2
18285,1
18360,1
18599,1
18660,1
18720,11
18750,1
18780,2
18810,4
18840,17
18870,2
18900,12
18960,9
18975,3
19020,2
19035,1
19080,2
19110,1
19140,3
19200,2
19259,1
19440,1
19500,1
19515,1
19560,1
19605,2
19620,2
19679,2
19725,1
19740,2
19920,2
20085,1
20100,2
20129,1
20130,1
20159,1
20160,33
